Name,Current price,Change(%),Open,High,Low,Volume
B. RILEY FINANCIAL,17.17,11.72,17.48,17.74,17.17,20404
UNITY BANCORP INC.,26.56,1.07,26.85,27.7,26.22,20396
AGNC INVESTMENT,25.9,0.27,25.89,25.9,25.81,20273
DIAMOND HILL INVESTMENT GROUP,143.99,11.35,145.5,146.28,143.71,20226
ESGL HOLDINGS LTD.,1.14,1.79,1.12,1.18,1.12,20214
GARDEN STAGE LTD.,7.11,13.92,7.2,7.74,6.95,20125
TIMBERLAND BANCORP INC.,25.99,0.04,26.0,26.18,25.28,20059
SIERRA BANCORP,21.25,2.36,21.13,21.57,21.12,20048
BAYCOM CORP,19.28,11.03,19.41,19.49,19.17,20019
TENON MEDICAL INC.,0.5907,14.83,0.63,0.63,0.5799,20008
YUNHONG GREEN CTI,1.26,12.33,1.28,1.33,1.2,19897
NORWOOD FINANCIAL,24.8,11.98,25.1,25.52,24.51,19897
CALIBERCOS INC.,0.94,7.54,0.8479,0.9557,0.8202,19862
ATRION CORP.,456.18,0.94,451.51,457.55,451.51,19847
TECHPRECISION CORP.,3.6,11.64,3.65,3.8,3.6,19834
MIND C.T.I.,1.86,0.0,1.89,1.89,1.86,19777
BRANCHOUT FOOD INC.,1.52,6.29,1.49,1.59,1.45,19749
KINGSTONE COMPANIES INC,4.7,12.89,4.77,4.91,4.7,19696
GENFIT S.A. ADS,4.15,1.22,4.15,4.26,4.14,19635
TELOMIR PHARMACEUTICALS INC.,5.58,3.91,5.14,5.58,5.14,19496
PARKE BANCORP INC.,15.31,11.1,15.51,15.63,15.31,19467
MVB FINANCIAL CORP.,18.9,11.25,19.24,19.25,18.88,19451
B.O.S. BETTER ONLINE SOLUTIONS,2.92,5.04,2.84,2.92,2.81,19431
CHS,30.13,10.76,30.69,30.69,30.13,19384
ACASTI PHARMA INC.,3.29,0.92,3.26,3.3,3.2,19316
CYCLO THERAPEUTICS INC.,1.17,15.65,1.25,1.28,1.17,19292
PENNS WOODS BANCORP INC.,19.85,10.45,19.94,20.16,19.84,19248
THERAPEUTICSMD INC.,1.86,16.53,1.97,2.0,1.86,19245
PRENETICS GLOBAL,5.95,10.17,6.1,6.2,5.82,19193
MIND TECHNOLOGY INC.,4.2,13.89,4.2,4.42,4.17,19124
PHOENIX MOTOR INC.,0.7665,2.21,0.7405,0.7776,0.73,19031
ORIENTAL CULTURE HOLDING LTD,1.13,2.73,1.12,1.19,1.12,18947
CAPITAL BANCORP INC.,19.56,10.51,19.72,19.96,19.55,18936
SENECA FOODS CORP.,58.27,1.52,58.0,59.26,58.0,18885
36KR HOLDINGS INC. ADS,0.37,14.79,0.3659,0.3799,0.3659,18837
OFFICE PROPERTIES,10.42,11.23,10.53,10.64,10.42,18787
FNCB BANCORP INC.,6.08,1.0,6.18,6.18,5.97,18779
ENERGY FOCUS INC.,1.77,1.14,1.75,1.77,1.54,18770
TELESIS BIO INC.,3.79,2.16,3.65,3.92,3.55,18767
SOUTH PLAINS FINANCIAL INC.,26.48,0.76,26.28,26.73,26.28,18688
BARINTHUS BIOTHERAPEUTICS PLC ADS,1.62,14.14,1.74,1.81,1.61,18621
ENLIGHT RENEWABLE ENERGY,16.66,13.31,16.77,17.02,16.63,18592
BANK OZK 4.625% SERIES A NON-CUMULATIVE,15.69,0.26,15.58,15.75,15.49,18579
GD CULTURE GROUP,1.13,10.88,1.12,1.16,1.06,18578
ROCKY MOUNTAIN CHOCOLATE FACTORY,2.32,10.43,2.34,2.45,2.25,18541
PEOPLES BANCORP OF NORTH CAROLINA,29.22,10.07,29.3,29.42,28.87,18521
AMTECH SYSTEMS INC.,5.81,12.19,5.95,6.09,5.8,18468
FRP HOLDINGS INC.,29.13,10.88,29.55,29.55,29.11,18426
MANHATTAN BRIDGE CAPITAL INC,5.01,11.38,5.01,5.1,5.01,18220
ESQUIRE FINANCIAL HLD.,45.52,11.32,45.16,46.1,45.16,18131
HEPION PHARMACEUTICALS INC.,1.06,2.91,1.09,1.09,1.01,18122
CALCIMEDICA INC.,5.04,3.92,4.47,5.42,4.47,18076
1895 BANCORP OF WISCONSIN INC.,7.56,13.45,7.85,7.89,7.49,18071
DIGITAL ALLY INC.,2.75,15.5,2.88,3.0,2.75,18036
SEMILUX INTERNATIONAL,1.73,0.58,1.73,1.9,1.67,18016
WAFD INC. DEPOSITARY SHARES,15.03,0.07,15.11,15.15,15.0,18011
MERCHANTS BANCORP DEPOSITARY SHARES,25.42,0.32,25.31,25.52,25.31,18007
TRUGOLF HOLDINGS INC.,1.13,0.89,1.2,1.2,1.12,17948
MOTORSPORT GAMES INC.,2.41,11.63,2.43,2.48,2.41,17941
PHARMING GROUP N.V. ADS,8.55,3.89,8.34,8.6,8.22,17930
VYNE THERAPEUTICS INC.,2.21,16.36,2.38,2.38,2.21,17922
RECRUITER.COM GROUP INC.,2.03,10.49,2.0,2.13,1.95,17921
ABITS GROUP INC,0.5549,0.89,0.55,0.558,0.5219,17897
ENTERO THERAPEUTICS INC.,1.94,16.73,2.15,2.15,1.89,17896
LIFEVANTAGE CORP.,6.69,12.9,6.91,7.02,6.69,17833
PEOPLES FINANCIAL SERVICES,41.19,10.27,40.7,41.9,40.54,17808
ELECTROVAYA INC.,2.73,10.73,2.75,2.8,2.72,17754
TENAX THERAPEUTICS INC.,3.09,10.32,3.12,3.2,3.06,17748
LIGHTPATH TECHNOLOGIES INC.,1.22,11.61,1.23,1.27,1.2,17602
MAINSTREET BANCSHARES INC.,16.09,10.8,16.06,16.21,15.91,17587
DIVERSIFIED HEALTHCARE TRUST 5.625% SE,14.34,1.06,14.12,14.35,14.07,17578
NANOVIBRONIX INC.,0.7325,14.1,0.7899,0.79,0.7311,17561
GLOBAL STAR ACQUISITION INC.,11.05,0.09,11.3,12.02,11.04,17534
ABACUS LIFE INC.,9.01,111.75,10.23,10.5,9.01,17498
ARCH CAPITAL GROUP,22.07,0.23,22.1,22.18,22.06,17450
TAT TECHNOLOGIES,14.5,13.27,14.9,14.92,14.2,17330
DALLASNEWS CORP.,3.72,11.06,3.75,3.75,3.68,17299
MARCHEX INC.,1.55,10.64,1.53,1.57,1.5,17290
SR BANCORP INC.,9.14,11.08,9.27,9.32,9.14,17246
IMAC HOLDINGS INC.,2.26,13.83,2.21,2.4,2.21,17244
FIRST COMMUNITY,16.8,0.48,16.51,16.89,16.51,17222
CITIZENS FINANCIAL SERVICES,41.06,15.98,42.32,42.89,41.06,17113
EUROSEAS LTD.,35.0,0.81,34.7,35.82,34.67,17108
ESCALADE INC.,13.12,0.85,13.09,13.4,13.05,17091
FS BANCORP INC.,33.01,10.39,33.49,34.19,32.92,17090
SIGMATRON INTERNATIONAL INC.,5.25,0.96,5.2,5.35,5.2,17056
ALCHEMY INVESTMENTS ACQUISITION CORP 1,10.77,0.0,10.77,10.77,10.77,17048
USCB FINANCIAL HLD.,12.02,10.66,12.11,12.12,11.99,17039
DERMATA THERAPEUTICS INC.,2.48,14.62,2.7,2.7,2.45,16972
ORANGE COUNTY BANCORP INC.,45.65,11.02,45.5,46.8,45.17,16956
SONNET BIOTHERAPEUTICS HLD.,1.53,13.16,1.59,1.59,1.5,16923
CARECLOUD,9.83,17.53,10.4,10.95,9.51,16910
GLOBAL WATER RESOURCES INC.,12.0,10.41,12.1,12.2,12.0,16887
NEPHROS INC.,2.06,12.37,2.1,2.12,2.0,16845
STRATA SKIN SCIENCES INC.,3.14,10.63,3.11,3.39,3.09,16743
C&F FINANCIAL CORP.,45.5,10.15,45.2,46.43,44.71,16677
FERROVIAL SE,39.02,1.32,39.33,39.6,39.02,16581
SONDER HOLDINGS INC.,3.97,0.51,3.99,4.07,3.93,16572
CARMELL CORP.,1.66,19.29,1.81,1.81,1.65,16550
CHS,25.61,0.43,25.77,25.77,25.46,16519
GEN RESTAURANT GROUP INC.,9.92,11.88,10.1,10.18,9.85,16456
TEXAS COMMUNITY BANCSHARES,14.86,0.07,14.9,14.95,14.85,16448
GAIA INC.,4.76,1.49,4.73,4.89,4.7,16435
ADVENT TECHNOLOGIES HLD.,3.27,12.39,3.34,3.39,3.2,16403
EBANG INTERNATIONAL HLD.,7.04,1.88,6.91,7.49,6.91,16390
BOWEN ACQUISITION CORP,10.54,0.0,10.57,10.57,10.54,16372
CALIFORNIA BANCORP,21.3,0.38,21.57,21.57,21.3,16302
ENGLOBAL CORP.,1.4,8.53,1.3,1.4,1.29,16299
LIVE VENTURES INC.,23.43,14.29,24.15,24.63,23.43,16296
U.S. ENERGY CORP.,1.02,0.0,1.02,1.02,1.01,16290
CUMBERLAND PHARMACEUTICALS,1.55,4.03,1.51,1.58,1.46,16254
LUCY SCIENTIFIC DISCOVERY INC.,0.75,11.51,0.736,0.758,0.721,16229
NORTHRIM BANCORP INC,55.79,0.2,55.55,56.58,55.52,16164
VACCINEX INC.,6.13,15.84,6.4,6.53,6.01,16141
LENDWAY INC.,4.32,15.47,4.77,4.77,4.32,16111
CARAVELLE INTERNATIONAL GROUP,0.83,1.22,0.82,0.833,0.8101,16081
STEAKHOLDER FOODS,3.28,16.02,3.53,3.53,3.25,16077
HEARTCORE ENTERPRISES INC.,0.713,10.97,0.7194,0.7194,0.668,16062
BANK FIRST CORP.,81.51,0.74,80.16,81.88,80.16,16022
MOOLEC SCIENCE SA,1.09,3.81,1.06,1.09,1.04,15993
COLLPLANT BIOTECHNOLOGIES,5.1,0.0,5.1,5.25,5.05,15936
LOTTERY.COM INC.,1.4,16.04,1.5,1.5,1.4,15925
PRESIDIO PROPERTY TRUST INC.,0.76,11.3,0.76,0.7932,0.76,15883
MEDICINOVA INC.,1.31,11.5,1.37,1.38,1.31,15844
LESAKA TECHNOLOGIES INC.,4.69,1.52,4.7,4.7,4.61,15809
STERLING BANCORP INC.,4.91,0.82,4.79,4.95,4.79,15777
GOHEALTH INC.,10.0,2.56,9.78,10.0,9.78,15741
LEDDARTECH HOLDINGS INC.,0.98,12.0,0.96,1.0399,0.96,15717
BROOKFIELD PROPERTY PARTNERS L.P. 6.375,13.55,0.44,13.49,13.55,13.3,15694
PCB BANCORP,15.08,0.27,15.0,15.23,14.99,15687
LASER PHOTONICS,1.93,11.53,2.0,2.0,1.92,15660
SOL-GEL TECHNOLOGIES,0.8697,1.06,0.878,0.9491,0.85,15631
THE INTERGROUP CORP.,21.58,10.92,21.12,21.83,21.03,15458
BRIGHTHOUSE FINANCIAL,23.66,0.47,23.7,23.98,23.6,15444
AMES NATIONAL CORP.,19.93,12.35,20.23,20.53,19.87,15432
IMUNON INC.,1.07,11.83,1.1,1.15,1.06,15401
KEWAUNEE SCIENTIFIC,36.31,18.08,38.92,39.01,36.2,15401
ATLANTICUS HOLDINGS,27.54,0.04,26.26,27.71,26.26,15389
OXFORD LANE CAPITAL,24.96,0.04,24.95,24.97,24.95,15386
GOOD TIMES RESTAURANTS INC.,2.59,10.38,2.52,2.64,2.5,15385
GRAVITY CO. LTD. ADS,84.22,10.84,84.93,85.74,83.91,15363
FREIGHTOS LTD.,2.19,2.34,2.19,2.22,2.0,15330
SOUTHERN FIRST BANCSHARES INC.,26.55,0.11,26.5,27.07,26.27,15316
JE CLEANTECH HOLDINGS,0.8671,12.66,0.914,0.914,0.8671,15289
NEW PROVIDENCE ACQUISITION,11.82,10.67,11.33,12.39,11.33,15217
HIGHEST PERFORMANCES HLD.,7.75,15.26,8.0,8.79,7.39,15203
METROCITY BANKSHARES INC.,24.87,1.39,24.59,24.88,24.59,15151
SYNCHRONOSS TECHNOLOGIES,21.25,10.7,21.25,21.4,21.25,15124
XWELL INC.,2.03,113.62,2.32,2.33,2.03,15099
ALICO INC.,24.7,10.8,24.98,25.08,24.67,15055
FLUENT INC.,3.42,1.18,3.39,3.47,3.29,14962
FONAR CORP.,15.27,10.59,15.44,15.72,15.27,14831
NVNI GROUP LTD.,1.24,13.13,1.23,1.48,1.21,14791
TCTM KIDS IT EDUCATION,1.21,10.82,1.2,1.26,1.15,14745
FEUTUNE LIGHT ACQUISITION,7.76,14.55,8.4,8.4,7.57,14739
EDUCATIONAL DEVELOPMENT,1.9,12.06,1.95,1.97,1.86,14698
INVENTIVA S.A. ADS,2.62,11.87,2.72,2.82,2.52,14687
SOLUNA HLD.,3.73,10.8,3.75,3.9,3.6,14638
APTORUM GROUP LTD.,4.5,11.75,4.45,4.56,4.45,14632
INTENSITY THERAPEUTICS INC.,4.91,4.69,4.69,4.91,4.69,14522
GREENLAND TECHNOLOGIES HOLDING,1.5,0.0,1.51,1.52,1.5,14390
SOUTHERN STATES BANCSHARES,25.73,0.63,25.7,26.48,25.45,14270
ARROWMARK FINANCIAL,18.62,0.92,18.4,18.69,18.4,14249
ENTERPRISE BANCORP INC,23.31,10.34,23.49,23.82,23.27,14249
RAVE RESTAURANT GROUP INC.,1.82,12.67,1.84,1.89,1.81,14225
VALNEVA SE ADS,7.1,0.14,6.99,7.37,6.95,14114
SYPRIS SOLUTIONS INC.,1.85,10.54,1.85,1.88,1.85,14086
B. RILEY FINANCIAL,17.6,2.09,17.13,17.6,17.13,13969
SAB BIOTHERAPEUTICS INC.,2.58,120.62,3.18,3.18,2.52,13959
WARRANTEE INC. ADS,0.2699,13.61,0.2701,0.271,0.2596,13936
SEMILEDS CORP.,1.22,11.61,1.25,1.25,1.2,13864
UTAH MEDICAL PRODUCTS INC.,66.41,10.55,67.24,67.29,66.41,13853
TAITRON COMPONENTS INC.,2.65,11.12,2.7,2.76,2.65,13792
OCULIS HOLDING AG,11.75,0.0,11.72,11.75,11.14,13787
APREA THERAPEUTICS INC.,4.07,13.1,4.09,4.31,4.07,13772
AVENUE THERAPEUTICS INC.,3.63,1.97,3.51,3.63,3.3,13704
FAT BRANDS INC.,5.25,10.57,5.27,5.31,5.25,13679
CHICKEN SOUP FOR THE SOUL ENTERTAINMENT,3.62,116.4,4.0,4.0,3.49,13618
JOWELL GLOBAL,2.01,8.65,1.97,2.01,1.91,13611
CYCLERION THERAPEUTICS INC.,2.21,120.79,2.85,3.09,2.18,13607
MULTISENSOR AI HLD.,1.96,15.31,2.05,2.1,1.96,13516
ADS-TEC ENERGY PLC,10.92,0.55,10.79,10.94,10.75,13485
WILLIS LEASE FINANCE,60.0,11.7,60.55,61.2,60.0,13360
MOLECULIN BIOTECH INC.,3.98,1.02,3.97,4.14,3.85,13347
LUMOS PHARMA INC.,2.2,14.35,2.3,2.32,2.17,13334
HALL OF FAME RESORT & ENTERTAINMENT CO.,3.0,12.6,3.1,3.12,3.0,13307
ATLANTICUS HOLDINGS,25.0,0.0,25.02,25.05,24.95,13257
BIOFRONTERA INC.,1.0,12.91,1.03,1.05,1.0,13189
GLOBAL GAS CORP.,1.03,1.98,1.05,1.07,1.03,13168
ICC HOLDINGS INC.,22.35,0.31,22.25,22.89,22.2,13101
ESTRELLA IMMUNOPHARMA INC.,0.812,17.73,0.89,0.94,0.81,13031
NATIONAL BANKSHARES INC.,28.67,14.37,29.68,30.29,28.67,12943
COMSCORE INC.,12.43,12.2,12.75,12.81,12.42,12850
XCEL BRANDS INC,0.6621,12.85,0.6865,0.699,0.6621,12847
AKARI THERAPEUTICS PLC ADS,2.84,14.05,2.88,3.03,2.8,12789
PRECIPIO INC.,5.32,18.43,5.5,5.87,5.28,12779
BRIGHTHOUSE FINANCIAL,22.7,1.16,22.5,22.72,22.45,12774
INHIBIKASE THERAPEUTICS INC.,1.49,16.29,1.64,1.64,1.47,12774
CHIPMOS TECHNOLOGIES INC. ADS,27.52,10.4,27.49,27.55,27.33,12757
VIA RENEWABLES,23.5,10.21,23.33,23.99,23.33,12739
INCEPTION GROWTH ACQUISITION,11.28,10.18,11.3,11.3,11.28,12734
RUSH ENTERPRISES INC.,39.23,10.28,39.8,39.8,39.14,12730
NEXT TECHNOLOGY HOLDING INC.,4.46,10.45,4.8,4.8,4.05,12700
BTC DIGITAL,2.23,1.36,2.3,2.3,2.17,12614
CREATIVE MEDICAL TECHNOLOGY HLD.,3.73,14.85,4.0,4.06,3.73,12586
NICHOLAS FINANCIAL INC.,6.6,2.33,6.64,6.69,6.35,12551
RAMACO RESOURCES INC.,10.65,11.75,10.76,10.79,10.65,12512
FORAFRIC GLOBAL PLC,10.8,11.82,11.11,11.14,10.8,12490
FTAI AVIATION,25.1,10.24,24.9,25.2,24.9,12428
FIFTH THIRD BANCORP DEPOSITARY SHARES,23.44,0.34,23.36,23.55,23.36,12132
REE AUTOMOTIVE,4.08,1.24,3.9,4.09,3.9,12110
JX LUXVENTURE LTD.,1.09,10.91,1.09,1.09,1.06,12103
GSE SYSTEMS INC.,3.35,12.05,3.3,3.56,3.3,12078
LUOKUNG TECHNOLOGY CORP,0.7201,0.85,0.714,0.75,0.714,12063
ASTROTECH CORP.,9.23,0.0,9.27,9.37,8.85,12038
HEARTLAND FINANCIAL USA,25.4,0.79,25.25,25.55,25.11,11993
HINGHAM INSTITUTION FOR SAVINGS,170.15,1.1,168.63,170.15,167.75,11981
JIANZHI EDUCATION TECHNOLOGY GROUP CO.,1.2,14.0,1.21,1.27,1.13,11972
CHOICEONE FINANCIAL SERVICES,26.02,0.15,26.01,26.11,25.96,11970
BANNIX ACQUISITION,0.1399,16.67,0.14,0.14,0.106,11924
WINDTREE THERAPEUTICS INC.,3.31,12.65,3.65,3.65,3.21,11891
RIVERVIEW BANCORP INC,3.87,0.52,3.84,3.95,3.83,11886
UNITED MARITIME,2.58,0.0,2.58,2.6,2.57,11863
PLURI INC.,5.65,3.67,5.28,5.74,5.28,11848
CLIMB GLOBAL SOLUTIONS INC.,56.22,11.06,55.81,57.16,55.81,11817
VIRGINIA NATIONAL BANKSHARES,30.35,10.49,30.04,30.61,30.04,11728
OAK VALLEY BANCORP (CA),23.2,10.64,23.14,23.49,23.14,11688
ANTELOPE ENTERPRISE HLD.,2.01,11.47,2.0,2.04,1.95,11669
EDAP TMS S.A. ADS,5.26,11.31,5.2,5.3,5.19,11664
CHURCHILL CAPITAL CORP VII,10.77,0.0,10.77,10.77,10.77,11652
SAFE & GREEN HOLDINGS,3.03,1.68,2.98,3.09,2.89,11585
FOSSIL GROUP,14.12,0.86,14.47,14.55,14.01,11575
P.A.M. TRANSPORTATION SERVICES,15.29,11.55,15.33,15.88,15.21,11448
FIRST GUARANTY BANCSHARES INC.,9.25,11.18,9.36,9.71,9.25,11415
LOCAFY LTD.,2.6,111.86,2.7,2.85,2.6,11407
HEALTHCARE TRUST,14.14,11.12,14.3,14.3,13.88,11325
B. RILEY FINANCIAL,24.21,10.16,24.25,24.39,24.1,11317
MDJM LTD,1.24,2.48,1.21,1.3,1.2,11201
NEXGEL INC,2.2,11.35,2.15,2.22,2.1,11171
FIRST BANCORP INC (ME),23.17,11.19,23.28,23.72,23.17,11169
AQUABOUNTY TECHNOLOGIES INC.,1.67,12.34,1.7,1.72,1.67,11158
UNION BANKSHARES INC.,21.46,10.33,21.52,22.3,21.24,11136
BANNIX ACQUISITION,11.05,0.0,11.05,11.05,11.05,11128
MY SIZE INC.,2.68,10.37,2.65,2.91,2.55,11123
PIERIS PHARMACEUTICALS INC.,9.23,14.85,9.99,10.0,9.1,11094
ENGENE HOLDINGS INC.,8.36,13.35,8.5,8.76,7.9,11073
LIXTE BIOTECHNOLOGY HLD.,2.47,10.4,2.53,2.62,2.42,11045
NEW MOUNTAIN FINANCE,25.45,0.28,25.36,25.49,25.35,11020
DBV TECHNOLOGIES S.A. ADS,0.9786,12.14,1.0,1.02,0.9786,10983
VALLEY NATIONAL BANCORP 5.5% FIXED TO F,23.77,0.51,23.66,23.77,23.66,10958
LAKESHORE BIOPHARMA CO. LTD,0.715,3.61,0.74,0.74,0.6903,10954
NETSOL TECHNOLOGIES INC.,2.62,11.87,2.66,2.73,2.6,10908
KEEN VISION ACQUISITION,10.56,0.0,10.57,10.57,10.56,10830
LIPELLA PHARMACEUTICALS INC.,0.637,10.93,0.6625,0.6625,0.636,10825
DOMINARI HOLDINGS INC.,1.96,14.39,2.08,2.09,1.96,10802
RAPID MICRO BIOSYSTEMS INC.,0.77,11.28,0.78,0.78,0.77,10792
KATAPULT HOLDINGS INC.,17.37,13.5,17.19,18.0,17.19,10790
EPICQUEST EDUCATION GROUP INTERNATIONAL,0.8902,0.0,0.9808,1.0,0.889,10748
VEON LTD. ADS,26.3,10.34,26.48,26.5,25.31,10706
ALTERITY THERAPEUTICS,1.87,2.19,1.84,1.88,1.84,10628
SOLARBANK CORP.,6.05,10.33,6.01,6.1,5.99,10608
ADDEX THERAPEUTICS LTD ADS,8.15,2.0,8.29,8.5,7.7,10582
NATIONAL WESTERN LIFE GROUP,491.01,0.2,491.0,491.21,490.05,10535
GLEN BURNIE BANCORP,3.8,13.06,4.03,4.03,3.8,10505
JVSPAC ACQUISITION,10.39,0.0,10.39,10.4,10.39,10500
ASTRONOVA INC.,15.41,11.85,15.64,15.87,15.33,10488
LULU S FASHION LOUNGE HLD.,1.77,11.67,1.78,1.84,1.77,10349
BANK7 CORP.,28.35,10.84,28.75,28.99,28.35,10344
ESSA BANCORP INC.,16.87,1.63,16.86,17.0,16.85,10311
ICLICK INTERACTIVE ASIA GROUP,1.27,1.6,1.26,1.27,1.26,10308
CASI PHARMACEUTICALS INC.,2.67,16.64,2.83,2.84,2.61,10291
NATURAL HEALTH TRENDS,6.75,10.74,6.88,6.88,6.74,10262
B. RILEY FINANCIAL,21.42,1.42,21.21,21.44,21.12,10146
KOLIBRI GLOBAL ENERGY INC.,3.4,1.8,3.4,3.4,3.3,10120
CHEMUNG FINANCIAL CORP,42.05,10.36,42.22,42.53,42.05,10115
PIONEER BANCORP INC.,9.82,10.3,9.78,9.88,9.78,10108
CETUS CAPITAL ACQUISITION,0.3258,8.6,0.2882,0.432,0.2882,10100
MEI PHARMA INC.,2.82,12.08,2.86,2.86,2.82,10097
EDESA BIOTECH INC.,4.26,12.29,4.26,4.29,4.25,10015
KIDPIK CORP.,2.73,12.85,2.75,2.82,2.69,9932
NAVIENT CORP.,19.19,0.73,19.09,19.24,19.05,9890
FIRST BUSINESS FINANCIAL SERVICES,34.05,10.82,34.02,34.25,33.3,9884
ALPHAVEST ACQUISITION CORP RIGHT,0.1,0.0,0.1,0.1,0.0958,9800
180 DEGREE CAPITAL,3.71,0.0,3.76,3.76,3.7,9795
WILLIAM PENN BANCORP.,11.69,10.68,11.85,11.85,11.69,9719
ADAGENE INC. ADS,2.66,5.98,2.47,2.7,2.47,9719
MIDCAP FINANCIAL INVESTMENT,25.2,0.0,25.25,25.33,25.16,9712
VISLINK TECHNOLOGIES INC.,4.06,11.69,4.13,4.4,4.04,9628
ENVOY MEDICAL INC.,2.43,11.22,2.47,2.73,2.11,9584
SPROTT FOCUS TRUST,7.38,0.14,7.36,7.38,7.34,9578
NANOBIOTIX S.A. ADSS,4.54,16.0,4.52,4.71,4.41,9539
UTSTARCOM HOLDINGS CORP,2.6,0.0,2.6,2.62,2.48,9534
REPUBLIC BANCORP INC.,51.4,1.42,50.88,51.56,50.8,9528
BOGOTA FINANCIAL,6.7,13.32,6.75,6.92,6.7,9494
WHERE FOOD COMES FROM INC.,12.2,10.41,12.22,12.89,12.2,9480
BANKFINANCIAL CORP.,9.71,0.0,9.85,9.88,9.71,9474
INNO HOLDINGS INC.,0.6699,3.06,0.6507,0.6699,0.6334,9433
CARECLOUD,12.64,14.53,12.82,13.24,11.64,9424
PERMA-PIPE INTERNATIONAL HLD.,8.75,10.34,8.88,9.12,8.75,9424
MEDALIST DIVERSIFIED REIT INC.,5.87,10.84,5.9,5.9,5.78,9362
MIDDLEFIELD BANC,21.85,11.58,21.82,22.08,21.8,9231
NSTS BANCORP INC.,9.62,0.1,9.6,9.62,9.6,9230
GAUCHO GROUP HLD.,7.23,14.24,7.27,7.54,7.21,9158
PRECISION OPTICS,5.79,14.61,6.05,6.05,5.79,9135
CRITICAL METALS,11.29,10.09,11.5,11.65,11.29,8966
THE OLB GROUP INC.,3.37,3.69,3.27,3.37,3.24,8963
BROOKFIELD PROPERTY PARTNERS L.P. 6.50%,14.58,0.21,14.6,14.78,14.5,8929
BROOKFIELD PROPERTY PARTNERS L.P. 6.25%,14.57,0.97,14.56,14.63,14.5,8920
BRIDGER AEROSPACE GROUP HLD.,3.96,11.0,3.98,4.01,3.93,8890
REDWOODS ACQUISITION,7.41,0.0,7.49,9.12,7.1,8884
ADLAI NORTYE,3.37,2.12,3.57,3.62,3.23,8793
PRINCETON BANCORP INC.,30.24,11.14,30.38,30.52,30.13,8791
CROWN CRAFTS INC.,4.93,11.99,5.03,5.05,4.93,8790
TRIUMPH FINANCIAL,21.87,0.74,21.58,21.87,21.58,8754
EAGLE BANCORP MONTANA INC.,12.9,11.23,13.14,13.15,12.9,8724
LOGICMARK INC.,0.6744,1.25,0.7,0.7,0.6661,8639
SILICOM LTD,15.42,12.41,15.69,15.69,15.4,8588
FGI INDUSTRIES,0.95,4.4,0.91,0.95,0.91,8586
NEUROMETRIX INC.,3.72,11.33,3.77,3.8,3.71,8553
VERSABANK,10.69,11.75,10.81,10.87,10.68,8506
REDWOODS ACQUISITION,5.98,3.1,5.72,6.29,5.72,8504
DAILY JOURNAL,369.6,10.09,371.01,371.01,367.57,8455
SYNTEC OPTICS HLD.,2.1,117.65,2.5,2.56,2.03,8441
RED RIVER BANCSHARES INC.,46.76,2.45,45.81,46.92,45.0,8405
ACNB CORP.,31.99,1.91,31.98,31.99,31.78,8369
RGC RESOURCES INC.,20.39,0.94,20.36,20.39,20.15,8342
TERRITORIAL BANCORP INC.,7.71,10.77,7.7,7.98,7.7,8334
PERCEPTION CAPITAL,10.95,0.0,10.79,10.95,10.79,8327
CULLMAN BANCORP INC.,10.23,0.1,10.23,10.25,10.22,8317
FALCON S BEYOND GLOBAL INC.,11.66,10.77,11.87,12.0,11.5,8249
NI HOLDINGS INC.,15.14,10.85,15.16,15.23,15.14,8223
BAIYU HOLDINGS INC.,1.08,10.92,1.1,1.1,1.08,8189
ENSTAR GROUP LTD.,24.66,1.23,24.55,24.68,24.55,8134
FULTON FINANCIAL,17.91,0.62,17.75,17.97,17.75,8118
VTV THERAPEUTICS INC.,18.78,110.57,20.28,21.15,18.78,8067
GLOBAL TECHNOLOGY ACQUISITION,10.99,0.0,10.99,10.99,10.99,8004
ECD AUTOMOTIVE DESIGN INC.,0.9701,13.47,1.02,1.0299,0.97,8001
SOUND GROUP INC. ADS,2.15,0.47,2.16,2.17,2.11,7985
VALLEY NATIONAL BANCORP 6.25% FIXED-TO-,22.23,1.51,21.9,22.25,21.9,7873
CARLYLE SECURED LENDING,25.43,0.12,25.42,25.44,25.36,7865
GIGAMEDIA LTD.,1.29,0.0,1.29,1.3,1.29,7836
AUBURN NATIONAL BANCORP.,17.64,13.61,18.11,18.2,17.64,7757
DATASEA INC.,4.37,10.46,4.13,4.7,4.13,7714
CEPTON INC.,2.5,14.21,2.6,2.65,2.5,7707
VAST RENEWABLES LTD.,2.85,11.04,2.66,2.92,2.58,7700
PINNACLE FINANCIAL PARTNERS,23.73,0.98,23.5,23.79,23.5,7668
TRINITY CAPITAL,25.14,0.36,25.05,25.14,25.03,7602
KERNEL GROUP HLD.,11.02,1.1,10.94,11.02,10.94,7597
SATELLOGIC INC.,1.08,0.0,1.09,1.1,1.08,7574
WISEKEY INTERNATIONAL HOLDING LTD ADS,2.18,3.32,2.1,2.18,2.03,7544
HEALTHCARE TRUST,14.82,0.14,14.8,14.89,14.66,7512
AURORA MOBILE LTD.,3.18,11.85,3.21,3.35,3.18,7480
STRAN & COMPANY INC.,1.15,8.49,1.05,1.15,1.05,7477
FIRST US BANCSHARES INC.,10.15,10.2,10.15,10.15,10.15,7414
ZHONGCHAO INC.,1.15,0.0,1.15,1.2,1.14,7400
